Date,AAPL
12/08/1994,1.2411
15/08/1994,1.2366
16/08/1994,1.2411
17/08/1994,1.25
18/08/1994,1.2366
19/08/1994,1.2455
22/08/1994,1.2455
23/08/1994,1.25
24/08/1994,1.2455
25/08/1994,1.2522
26/08/1994,1.2768
29/08/1994,1.2634
30/08/1994,1.2946
31/08/1994,1.2924
01/09/1994,1.25
02/09/1994,1.2634
05/09/1994,1.2634
06/09/1994,1.2701
07/09/1994,1.2902
08/09/1994,1.2902
09/09/1994,1.2768
12/09/1994,1.2768
13/09/1994,1.279
14/09/1994,1.2545
15/09/1994,1.2857
16/09/1994,1.2991
19/09/1994,1.2679
20/09/1994,1.2344
21/09/1994,1.2188
22/09/1994,1.2098
23/09/1994,1.2121
26/09/1994,1.2121
27/09/1994,1.2098
28/09/1994,1.2098
29/09/1994,1.2188
30/09/1994,1.2031
03/10/1994,1.183
04/10/1994,1.2054
05/10/1994,1.3527
06/10/1994,1.2946
07/10/1994,1.3214
10/10/1994,1.3884
11/10/1994,1.4152
12/10/1994,1.5045
13/10/1994,1.4688
14/10/1994,1.4688
17/10/1994,1.4196
18/10/1994,1.4732
19/10/1994,1.4732
20/10/1994,1.4643
21/10/1994,1.5223
24/10/1994,1.5089
25/10/1994,1.5223
26/10/1994,1.5446
27/10/1994,1.5179
28/10/1994,1.5045
31/10/1994,1.5424
01/11/1994,1.5402
02/11/1994,1.4777
03/11/1994,1.4821
04/11/1994,1.442
07/11/1994,1.4554
08/11/1994,1.5089
09/11/1994,1.4866
10/11/1994,1.4754
11/11/1994,1.4688
14/11/1994,1.5179
15/11/1994,1.4777
16/11/1994,1.4621
17/11/1994,1.4286
18/11/1994,1.4286
21/11/1994,1.3616
22/11/1994,1.3348
23/11/1994,1.317
24/11/1994,1.317
25/11/1994,1.3482
28/11/1994,1.3504
29/11/1994,1.3661
30/11/1994,1.3304
01/12/1994,1.2924
02/12/1994,1.3058
05/12/1994,1.3281
06/12/1994,1.3415
07/12/1994,1.308
08/12/1994,1.2813
09/12/1994,1.2946
12/12/1994,1.3036
13/12/1994,1.2991
14/12/1994,1.3527
15/12/1994,1.3259
16/12/1994,1.3304
19/12/1994,1.3973
20/12/1994,1.375
21/12/1994,1.3705
22/12/1994,1.3795
23/12/1994,1.3884
26/12/1994,1.3884
27/12/1994,1.3973
28/12/1994,1.3973
29/12/1994,1.4107
30/12/1994,1.3929
02/01/1995,1.3929
03/01/1995,1.3705
04/01/1995,1.4063
05/01/1995,1.3884
06/01/1995,1.5
09/01/1995,1.4715
10/01/1995,1.5603
11/01/1995,1.6696
12/01/1995,1.6205
13/01/1995,1.6027
16/01/1995,1.5893
17/01/1995,1.6071
18/01/1995,1.6295
19/01/1995,1.6384
20/01/1995,1.5223
23/01/1995,1.5089
24/01/1995,1.4866
25/01/1995,1.4637
26/01/1995,1.4107
27/01/1995,1.4241
30/01/1995,1.433
31/01/1995,1.442
01/02/1995,1.433
02/02/1995,1.4866
03/02/1995,1.4464
06/02/1995,1.4464
07/02/1995,1.4576
08/02/1995,1.5112
09/02/1995,1.558
10/02/1995,1.5625
13/02/1995,1.5625
14/02/1995,1.5335
15/02/1995,1.5201
16/02/1995,1.5424
17/02/1995,1.5179
20/02/1995,1.5179
21/02/1995,1.4643
22/02/1995,1.4576
23/02/1995,1.4353
24/02/1995,1.3929
27/02/1995,1.3661
28/02/1995,1.4107
01/03/1995,1.4286
02/03/1995,1.4286
03/03/1995,1.4375
06/03/1995,1.4196
07/03/1995,1.3683
08/03/1995,1.4129
09/03/1995,1.4196
10/03/1995,1.4107
13/03/1995,1.3616
14/03/1995,1.25
15/03/1995,1.25
16/03/1995,1.2589
17/03/1995,1.2545
20/03/1995,1.2589
21/03/1995,1.2946
22/03/1995,1.3594
23/03/1995,1.3259
24/03/1995,1.3482
27/03/1995,1.3281
28/03/1995,1.2277
29/03/1995,1.2277
30/03/1995,1.2634
31/03/1995,1.2589
03/04/1995,1.2679
04/04/1995,1.2098
05/04/1995,1.2411
06/04/1995,1.3125
07/04/1995,1.3125
10/04/1995,1.308
11/04/1995,1.3482
12/04/1995,1.3929
13/04/1995,1.3661
14/04/1995,1.3661
17/04/1995,1.3705
18/04/1995,1.3393
19/04/1995,1.2991
20/04/1995,1.3438
21/04/1995,1.3973
24/04/1995,1.3929
25/04/1995,1.3482
26/04/1995,1.3661
27/04/1995,1.3527
28/04/1995,1.3661
01/05/1995,1.3661
02/05/1995,1.3616
03/05/1995,1.3616
04/05/1995,1.375
05/05/1995,1.3884
08/05/1995,1.4464
09/05/1995,1.4732
10/05/1995,1.4799
11/05/1995,1.4643
12/05/1995,1.558
15/05/1995,1.558
16/05/1995,1.5625
17/05/1995,1.5714
18/05/1995,1.5491
19/05/1995,1.5268
22/05/1995,1.5759
23/05/1995,1.567
24/05/1995,1.5536
25/05/1995,1.5491
26/05/1995,1.5246
29/05/1995,1.5246
30/05/1995,1.5
31/05/1995,1.4844
01/06/1995,1.5067
02/06/1995,1.5045
05/06/1995,1.5536
06/06/1995,1.5714
07/06/1995,1.5402
08/06/1995,1.5335
